phenomenon	clause_wo	np_wo	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
4_2_anc_S_marker	svo	ng	erg-abs	8	800	0.856250	0.237500	0.652891
4_2_anc_S_marker	svo	ng	nom-acc	8	800	0.960000	0.012500	0.948000
4_2_anc_S_marker	vos	gn	erg-abs	8	800	0.853750	0.257500	0.633909
4_2_anc_S_marker	vos	gn	nom-acc	8	800	0.786250	0.257500	0.583791
4_2_anc_S_marker	vos	ng	erg-abs	8	800	0.831250	0.560000	0.365750
4_2_anc_S_marker	vos	ng	nom-acc	8	800	0.767500	0.090000	0.698425
4_3_anc_A_marker	sov	gn	erg-abs	8	800	0.377500	0.375000	0.235937
4_3_anc_A_marker	sov	gn	nom-acc	8	800	0.561250	0.272500	0.408309
4_3_anc_A_marker	sov	ng	erg-abs	8	800	0.722500	0.250000	0.541875
4_3_anc_A_marker	sov	ng	nom-acc	8	800	0.702500	0.265000	0.516338
4_3_anc_A_marker	svo	gn	erg-abs	8	800	0.573750	0.125000	0.502031
4_3_anc_A_marker	svo	gn	nom-acc	8	800	0.781250	0.012500	0.771484
4_3_anc_A_marker	svo	ng	erg-abs	8	800	0.896250	0.000000	0.896250
4_3_anc_A_marker	svo	ng	nom-acc	8	800	0.937500	0.017500	0.921094
4_3_anc_A_marker	vos	gn	erg-abs	8	800	0.772500	0.250000	0.579375
4_3_anc_A_marker	vos	gn	nom-acc	8	800	0.786250	0.265000	0.577894
4_3_anc_A_marker	vos	ng	erg-abs	8	800	0.410000	0.375000	0.256250
4_3_anc_A_marker	vos	ng	nom-acc	8	800	0.678750	0.272500	0.493791
4_4_anc_P_marker	sov	gn	erg-abs	8	800	0.783750	0.378750	0.486905
4_4_anc_P_marker	sov	gn	nom-acc	8	800	0.962500	0.250000	0.721875
4_4_anc_P_marker	sov	ng	erg-abs	8	800	0.807500	0.515000	0.391637
4_4_anc_P_marker	sov	ng	nom-acc	8	800	0.970000	0.500000	0.485000
4_4_anc_P_marker	svo	gn	erg-abs	8	800	0.990000	0.012500	0.977625
4_4_anc_P_marker	svo	gn	nom-acc	8	800	0.987500	0.000000	0.987500
4_4_anc_P_marker	svo	ng	erg-abs	8	800	0.773750	0.267500	0.566772
4_4_anc_P_marker	svo	ng	nom-acc	8	800	0.962500	0.250000	0.721875
4_4_anc_P_marker	vos	gn	erg-abs	8	800	0.858750	0.515000	0.416494
4_4_anc_P_marker	vos	gn	nom-acc	8	800	0.958750	0.500000	0.479375
4_4_anc_P_marker	vos	ng	erg-abs	8	800	0.798750	0.378750	0.496223
4_4_anc_P_marker	vos	ng	nom-acc	8	800	0.957500	0.250000	0.718125
4_5_anc_SV_order	sov	gn	erg-abs	8	800	0.996250	0.000000	0.996250
4_5_anc_SV_order	sov	gn	nom-acc	8	800	1.000000	0.000000	1.000000
4_5_anc_SV_order	sov	ng	erg-abs	8	800	0.747500	0.750000	0.186875
4_5_anc_SV_order	sov	ng	nom-acc	8	800	0.815000	0.750000	0.203750
4_5_anc_SV_order	svo	gn	erg-abs	8	800	0.871250	0.232500	0.668684
4_5_anc_SV_order	svo	gn	nom-acc	8	800	1.000000	0.000000	1.000000
4_5_anc_SV_order	svo	ng	erg-abs	8	800	0.762500	0.235000	0.583313
4_5_anc_SV_order	svo	ng	nom-acc	8	800	0.998750	0.000000	0.998750
4_5_anc_SV_order	vos	gn	erg-abs	8	800	0.803750	0.750000	0.200937
4_5_anc_SV_order	vos	gn	nom-acc	8	800	0.772500	0.750000	0.193125
4_5_anc_SV_order	vos	ng	erg-abs	8	800	0.997500	0.000000	0.997500
4_5_anc_SV_order	vos	ng	nom-acc	8	800	0.985000	0.000000	0.985000
4_6_anc_AV_order	sov	gn	erg-abs	8	800	0.997500	0.000000	0.997500
4_6_anc_AV_order	sov	gn	nom-acc	8	800	0.995000	0.000000	0.995000
4_6_anc_AV_order	sov	ng	erg-abs	8	800	0.856250	0.500000	0.428125
4_6_anc_AV_order	sov	ng	nom-acc	8	800	0.915000	0.500000	0.457500
4_6_anc_AV_order	svo	gn	erg-abs	8	800	0.867500	0.000000	0.867500
4_6_anc_AV_order	svo	gn	nom-acc	8	800	0.903750	0.000000	0.903750
4_6_anc_AV_order	svo	ng	erg-abs	8	800	0.842500	0.000000	0.842500
4_6_anc_AV_order	svo	ng	nom-acc	8	800	0.987500	0.005000	0.982563
4_6_anc_AV_order	vos	gn	erg-abs	8	800	0.820000	0.500000	0.410000
4_6_anc_AV_order	vos	gn	nom-acc	8	800	0.822500	0.500000	0.411250
4_6_anc_AV_order	vos	ng	erg-abs	8	800	1.000000	0.000000	1.000000
4_6_anc_AV_order	vos	ng	nom-acc	8	800	0.997500	0.000000	0.997500
4_7_anc_VP_order	sov	gn	erg-abs	8	800	0.977500	0.000000	0.977500
4_7_anc_VP_order	sov	gn	nom-acc	8	800	0.986250	0.000000	0.986250
4_7_anc_VP_order	sov	ng	erg-abs	8	800	0.883750	0.262500	0.651766
4_7_anc_VP_order	sov	ng	nom-acc	8	800	0.978750	0.250000	0.734063
4_7_anc_VP_order	svo	gn	erg-abs	8	800	0.786250	0.377500	0.489441
4_7_anc_VP_order	svo	gn	nom-acc	8	800	0.965000	0.250000	0.723750
4_7_anc_VP_order	svo	ng	erg-abs	8	800	0.766250	0.012500	0.756672
4_7_anc_VP_order	svo	ng	nom-acc	8	800	0.965000	0.000000	0.965000
4_7_anc_VP_order	vos	gn	erg-abs	8	800	0.916250	0.262500	0.675734
4_7_anc_VP_order	vos	gn	nom-acc	8	800	0.868750	0.250000	0.651563
4_7_anc_VP_order	vos	ng	erg-abs	8	800	0.971250	0.000000	0.971250
4_7_anc_VP_order	vos	ng	nom-acc	8	800	0.946250	0.000000	0.946250
5_1_anc_ext_S_marker	sov	gn	erg-abs	8	800	0.716250	0.000000	0.716250
5_1_anc_ext_S_marker	sov	gn	nom-acc	8	800	0.555000	0.072500	0.514763
5_1_anc_ext_S_marker	sov	ng	erg-abs	8	800	0.383750	0.122500	0.336741
5_1_anc_ext_S_marker	sov	ng	nom-acc	8	800	0.478750	0.137500	0.412922
