model_id	subset	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_n_unique_sentences	mean_own_sentence_group_size	mean_max_languages_count	mean_score_gap	mean_score_gap_when_wrong
24_sov_ng_er_b_se	non_anc	sov	ng	erg-abs	balancing	sent	sov	0.9954843680683649	0	0.9960494057764598	0.9959839794119872	1.046547899787527	6.623386023488758	24.88360690186556	24.87583646594597	0.0011453829824184549	0.2536484371975181
25_sov_ng_er_b_pa	all	sov	ng	erg-abs	balancing	poss-acc	ovs	0.9938602672219953	2.2440543779256858e-05	0.9959921188810247	0.9948549492245445	1.0492928984655157	6.77561700275121	24.506788264493224	24.492803317609994	0.0019477435515751018	0.3172358833845029
25_sov_ng_er_b_pa	anc	sov	ng	erg-abs	balancing	poss-acc	ovs	0.9326102007846757	0.0005769674590353104	0.9772674821140088	0.9481743221832448	1.3594507269789984	10.537387491345488	15.19524578813755	14.95015001153935	0.028183848566812834	0.4182212871232877
25_sov_ng_er_b_pa	non_anc	sov	ng	erg-abs	balancing	poss-acc	ovs	0.9963389292301945	0	0.9967498657451727	0.9967440165104485	1.036741460225548	6.623386023488758	24.88360690186556	24.878974526605806	0.0008860232869784491	0.24201206223214283
26_sov_ng_er_b_ep	all	sov	ng	erg-abs	balancing	erg-poss	vos	0.9949239489971321	0.0002692865253510823	0.9959651902284896	0.995576337355337	1.0483189788654959	6.77561700275121	24.490658001624695	24.485317152205234	0.0012298908904856583	0.2422928551724138
26_sov_ng_er_b_ep	anc	sov	ng	erg-abs	balancing	erg-poss	vos	0.9693053311793215	0.006923609508423725	0.9825755827371336	0.9750339170182322	1.204708054465728	10.537387491345488	14.780521578582968	14.794599584583429	0.009857415377336719	0.3211442167669173
26_sov_ng_er_b_ep	non_anc	sov	ng	erg-abs	balancing	erg-poss	vos	0.9959606808470896	0	0.9965070396226856	0.9964076461164164	1.0419902402577692	6.623386023488758	24.88360690186556	24.877480212005885	0.0008807530296761541	0.2180449220115607
27_sov_ng_er_b_no	all	sov	ng	erg-abs	balancing	nomn	ovs	0.9945155311003496	4.0392978802662344e-05	0.9958888923796402	0.9952872932797303	1.0487184205447666	6.77561700275121	24.495967434282868	24.48842292346428	0.001384509656121107	0.2524418829705401
27_sov_ng_er_b_no	anc	sov	ng	erg-abs	balancing	nomn	ovs	0.9618047542118624	0.0010385414262635588	0.9823447957535195	0.9700545305042696	1.2126702054004155	10.537387491345488	14.917032079390722	14.885529656127394	0.011279839022617123	0.29532049839879154
27_sov_ng_er_b_no	non_anc	sov	ng	erg-abs	balancing	nomn	ovs	0.9958392677858461	0	0.9964369936258143	0.9963084103836186	1.0420836349202642	6.623386023488758	24.88360690186556	24.877031917625906	0.0009840663850194961	0.23651279014590346
28_sov_ng_er_d_se	all	sov	ng	erg-abs	deranking	sent	sov	0.9915623555389994	4.488108755851371e-06	0.9937256239593197	0.9927790116206112	1.0793991319997667	6.77561700275121	24.49741260530225	24.490348322120543	0.0026746851860096673	0.31699429839361704
28_sov_ng_er_d_se	anc	sov	ng	erg-abs	deranking	sent	sov	0.8776828986845142	0.00011539349180706209	0.9169166858989153	0.8984527431237018	2.0051927071313176	10.537387491345488	14.954188783752596	14.95718901453958	0.04679866666282022	0.3826011748113207
28_sov_ng_er_d_se	non_anc	sov	ng	erg-abs	deranking	sent	sov	0.9961708188377034	0	0.9968339209414182	0.9965961983062411	1.0419342034602723	6.623386023488758	24.88360690186556	24.876135328865956	0.0008890799957038455	0.23218540936585366
